Plant_Position,Location,Treatment,Gall_Number,Gall_Letter,Point_Height_mm,Contents,Notes,Broken_Gall,Person
164,tree,bag,1,a,10.15,pupa,didnt find larva in 2 of cases,0,MB
164,tree,bag,1,b,9.15,pupa,didnt find larva in 2 of cases,0,MB
164,tree,bag,1,b,9.15,pupa,,0,MB
164,tree,bag,2,a,10.25,brown mush,,0,MB
164,tree,bag,3,a,8.88,pupa,,0,MB
164,tree,bag,4,a,6.55,platy,,0,MB
164,tree,bag,4,b,6.55,platy,,0,MB
164,tree,bag,5,a,7.50,pupa,,0,MB
486,tree,bag,6,a,11.35,pupa,,0,MB
486,tree,bag,6,b,11.35,pupa,,0,MB
486,tree,bag,6,c,9.30,pupa,,0,MB
486,tree,bag,7,a,8.35,pupa,,0,CJGG
486,tree,bag,8,a,8.60,platy,,0,CJGG
486,tree,bag,8,b,8.75,platy,,0,CJGG
486,tree,bag,8,c,8.60,none none,white ball found,0,CJGG
486,tree,bag,9,a,6.45,platy,,0,CJGG
486,tree,bag,9,b,6.60,brown mush,,0,CJGG
486,tree,bag,9,c,6.45,platy,,0,CJGG
486,tree,bag,10,a,4.30,platy,,0,CJGG
486,tree,bag,10,b,6.20,platy,,0,CJGG
486,tree,bag,10,c,3.75,none none,,0,CJGG
486,tree,bag,11,a,3.85,platy,,0,CJGG
486,tree,bag,11,b,3.45,platy,,0,CJGG
486,tree,bag,12,a,5.25,platy,,0,CJGG
486,tree,bag,12,b,5.85,pupa,empty casing,0,CJGG
318,ground,nomark,13,a,6.60,pupa,,0,CJGG
318,ground,nomark,13,b,7.15,pupa,,0,CJGG
413,tree,nobag,14,a,11.45,brown mush,,0,CJGG
413,tree,nobag,14,b,11.10,hairy larva,,0,CJGG
413,tree,nobag,15,a,11.00,hairy larva,,0,CJGG
413,tree,nobag,15,b,11.60,none none,,0,CJGG
413,tree,nobag,15,c,8.95,unklarva,,0,CJGG
413,tree,nobag,16,a,8.60,hairy larva,,0,CJGG
413,tree,nobag,16,b,8.50,none none,,0,CJGG
413,tree,nobag,17,a,8.35,platy,Unsure which gall chamber platy was in,0,CJGG
413,tree,nobag,17,b,10.15,pupa,Unsure which gall chamber cocoon was in,0,CJGG
413,tree,nobag,18,a,8.80,none none,,0,CJGG
413,tree,nobag,19,a,8.05,hairy larva,,0,CJGG
413,tree,nobag,20,a,7.60,unknown,,0,CJGG
413,tree,nobag,20,b,9.55,unknown,,0,CJGG
413,tree,nobag,21,a,10.90,pupa,,0,CJGG
413,tree,nobag,21,b,12.85,pupa,,0,CJGG
413,tree,nobag,21,c,10.90,platy,Likely platy but lost before absolute identification,0,CJGG
413,tree,nobag,22,a,6.85,none none,egg possibly in chamber,0,CJGG
618,tree,nomark,23,a,11.85,pupa,,0,MB
618,tree,nomark,23,b,11.50,pupa,,0,MB
