"# conducted these density surveys from May 16-17, 2013.  Took about 7 hours to sample all of the trees, but it got faster as the survey went on.",,,,,,,
Row       ,Plant Position ,Genotype ,Treatment,Iteomyia_count,Shoots_on_last_sampled_branch,not_sampled,Notes
1,2,B,bag,18,26,,
1,3,L,bag,11,22,,
1,5,J,bag,5,32,,
1,6,T,bag,1,24,,
1,15,U,no bag,17,23,,
1,25,B,no bag,51,30,,
1,28,Z,no bag,7,28,,
1,30,X,no bag,2,9,,
1,34,W,no bag,19,16,,
1,36,X,no bag,3,9,,
1,39,U,bag,9,17,,
1,40,W,bag,39,17,,
1,41,J,bag,12,38,,
2,48,B,bag,35,35,,
2,53,J,no bag,,,1,sampled last year
2,55,Z,no bag,,,1,sampled last year
2,57,W,no bag,14,30,,
2,61,L,bag,16,29,,
2,71,Z,no bag,,,1,sampled last year
2,82,B,bag,11,21,,
2,84,Z,bag,1,13,1,tree wasn't looking healthy
2,85,B,no bag,32,17,,
3,93,B,no bag,29,21,,
3,94,U,bag,17,20,,
3,96,L,no bag,23,21,,
3,101,T,no bag,14,15,,
3,104,X,bag,9,13,,
3,108,U,bag,19,28,,
3,113,T,no bag,15,16,,
3,126,T,bag,22,21,,
3,127,Z,no bag,29,17,,
3,128,U,no bag,31,31,,
3,135,B,bag,23,27,,
4,136,L,no bag,25,26,,
4,138,B,bag,32,27,,
4,148,J,bag,1,25,,
4,154,Z,no bag,21,22,,
4,164,U,bag,25,14,,
4,165,T,bag,35,17,,
4,173,T,no bag,19,26,,
4,175,J,no bag,2,16,,
4,178,J,no bag,8,12,,
4,180,B,bag,14,32,,
5,184,X,bag,0,8,,
5,188,L,bag,20,22,,
5,190,Z,bag,,,1,tree wasn't looking healthy
5,193,B,no bag,34,27,,
5,201,L,no bag,,,1,tree wasn't looking healthy
5,217,T,bag,,,1,dead
5,218,W,bag,35,18,,
5,221,U,bag,36,23,,
6,246,J,no bag,4,26,,
6,248,Z,bag,0,14,,
6,254,U,no bag,21,14,,
6,265,Z,bag,7,19,,
7,275,Z,bag,21,20,,
7,278,X,bag,0,6,,
7,280,U,no bag,6,12,,
7,283,U,bag,15,18,,
7,291,Z,no bag,2,18,,
7,292,W,no bag,8,22,,
7,293,T,bag,29,33,,
7,294,U,no bag,29,17,,
7,298,J,bag,0,31,,
7,301,X,bag,0,14,,
7,304,W,bag,18,12,,
7,305,U,bag,16,12,,
7,308,Z,bag,17,18,,
8,318,X,no bag,0,10,,
8,332,X,no bag,2,10,,
8,339,W,no bag,27,22,,
8,341,T,no bag,13,21,,
8,343,T,bag,8,18,,
8,355,J,no bag,3,22,,
8,356,W,bag,22,18,,
8,357,W,bag,72,28,,
9,377,Z,no bag,,,1,no tree
9,386,U,no bag,19,21,,
9,391,B,no bag,44,27,,
10,406,W,no bag,29,20,,
10,409,L,bag,26,29,,
10,412,X,bag,0,6,,
10,413,L,bag,12,21,,
10,421,B,bag,14,22,,
10,427,T,no bag,19,28,,
10,428,W,no bag,38,25,,
10,433,Z,no bag,6,24,,
10,435,L,bag,43,22,,
10,437,T,no bag,45,18,,
10,438,B,no bag,33,25,,
11,452,T,bag,0,21,,
11,464,Z,bag,0,11,,
11,473,Z,bag,13,27,,
11,480,U,no bag,3,11,,
11,484,X,no bag,13,8,,
11,485,L,no bag,1,8,,
11,486,X,bag,11,10,,
11,487,X,no bag,1,4,,
11,489,T,no bag,23,12,,
11,490,W,no bag,17,17,,
12,516,J,bag,0,12,,
12,530,L,bag,24,33,,
12,533,T,bag,,,1,sampled last year
12,538,J,no bag,13,25,,
12,540,J,bag,5,20,,
13,543,B,no bag,23,15,,
13,548,X,no bag,6,7,,
13,552,W,no bag,23,14,,
13,553,B,bag,30,11,,
13,554,L,no bag,53,44,,
13,559,J,bag,5,21,,
13,564,J,no bag,2,16,,
14,591,X,bag,7,11,,
14,600,W,bag,22,17,,
14,606,W,bag,85,24,,
14,615,T,no bag,90,19,,
14,618,J,no bag,8,20,,
14,628,X,bag,0,8,,
14,629,U,no bag,6,10,,
14,630,L,no bag,25,19,,
15,631,B,no bag,21,22,,
15,634,W,bag,0,9,,
15,637,L,bag,38,23,,
15,649,X,no bag,2,9,,
15,655,U,bag,0,9,,
15,660,J,bag,13,15,,
15,661,L,no bag,20,18,,
15,663,L,no bag,15,20,,
